id,problem,solution
1,"Alpha Insurance is an insurance company that provides its clients with various types of insurance policies.
As soon as a customer addresses Alpha Insurance, a broker is assigned to follow the customer’s file. The broker is registered in the system, so that when a customer calls, based on the contract, the help desk can immediately trace who is the customer's first account manager. After the broker is assigned to the customer, the latter indicates which type(s) of insurance policy they would like to sign for, so the broker could, depending on the case, either assess the customer’s profile on the spot or send the customer’s file for analysis to the head office. After the customer’s profile has been assessed and the customer has been deemed trustworthy , a preliminary contract/offer on an insurance product is made to the customer either in person or by email. (Such offers can also be extended to already existing customers.) If the customer agrees to the offer, the contract is signed by both parties. After the signing of the contract, the client enjoys the coverage and is invoiced (monthly or yearly – depending on the choice made in the contract) according to the price of the insurance product they bought.
In case the insured event happens, a customer should send a claim for compensation. Then the company opens one or several claim cases (e.g. in case of an accident, often material damage & physical damage are handled separately). Once the case file is complete, it is sent for assessment by different estimators based on their area of expertise. According to the reports issued by the estimators, it is decided whether the claim case is approved. In case of approval the compensation decision is registered that stipulates which costs are eligible for (partial) refund.  For the supplied documents, the sum of compensation is calculated and the compensation is paid to the customer’s account.  The estimators’ reports must be stored in the database for at least one year after the payment of compensation for legal purposes.","  @startuml

class Customer {
    String Name
    String email
}
class InsurancePolicy {
    String Type
    Double MonthlyPrice
    Double YearlyPrice
}
class Contract {
    String Status
    String InvoiceFrequency
}
class Invoice {}

class Broker{
    String Name
}
class Claim {
    Double CompensationTotal
    Double calculateCompenstationSum()
}
class ClaimCase {
    String Status
    String CompensationDecision
}
class Report {}
class Estimator {
    String AreaOfExpertise
}
class CompensationPayment {
    Date PaymentDate
}

Customer ""1""--""0..*"" Contract
Contract ""1"" -- ""0..*"" Invoice
InsurancePolicy ""1"" -- ""0..*"" Contract
Contract ""1"" -- ""0..*"" ClaimCase
Customer ""1"" -- ""0..*"" Claim
Claim ""1"" -- ""0..*"" ClaimCase
ClaimCase ""1"" -- ""0..*"" CompensationPayment
Estimator ""0..*"" - ""0..*"" ClaimCase
(ClaimCase,Estimator) .. Report
Customer ""0..*"" - ""0..1"" Broker


@enduml"
2,A bank manages any number of customers. The first name and last name of type String are stored for each customer. A bank consists of any number of branches. A customer has at least one and at most five accounts. Each account has an owner who is a customer of the bank. There are two basic types of accounts: Current accounts and savings accounts. Each account has an account number of type int and a current account balance of type double. Current accounts also have an overdraft limit of type double.,"  @startuml
    class Bank

    class Branch

    class Customer {
        String firstName
        String lastName
    }

    class Account {
        int accountNumber
        double balance
    }

    class SavingsAccount

    class CheckingAccount {
        double overdraftLimit
    }

    Bank ""1"" o-- ""*"" Branch
    Bank ""*"" -- ""*"" Customer
    Customer ""1"" --> ""1..5"" Account
    Account <|-- SavingsAccount
    Account <|-- CheckingAccount
@enduml"
3,"Each web portal has a version number and a URL address such as “http://www.ebuntu-nrw.org” and provides a catalog of buildings with their energy information. A building has a unique ID, a name, an energy class (A, B, C, D), an address, a year of construction and is assigned to a user as the owner, who can add additional entries to the buildings. Each additional entry has a name. An entry can be either textual information or a floating point number with an additional unit (the latter as freely definable text). The owner can optionally release each of these additional entries publicly, i.e. also for all non-registered visitors to the respective web portal. In addition, each building has a number of images, one of which is used as a profile photo. Images are saved with a file name.
Visitors can register with a web portal as a user with a unique user name, their email address and a password. During registration, the system checks the user name for uniqueness and the correct email address by sending a confirmation link. In the meantime, the user is set up for the web portal by an administrator. Once these processes have been completed, users are automatically informed by email that they have been activated and can log in accordingly. After logging in, users can create buildings, manage entries for their buildings and comment on other users' buildings. All visitors to the site can search for corresponding buildings in the system using a full-text search. Administrators are special users. Their ID card number is stored in addition to their user information. The administrative functions include setting up user accounts and deleting comments.
Create a UML class diagram based on the project description. Assign the use cases to the corresponding actors. For the evaluation of the task, 10 meaningful use cases are sufficient. Use the concepts of generalization and, if possible, model meaningful relationships between the individual use cases."," @startuml
    class User {
        String username
        String password
        String email
    }

    class Administrator {
        String idCardNumber
    }

    class WebPortal {
        String versionNumber
        String url
    }

    class Building {
        String id
        String label
        String address
        int yearOfConstruction
    }

    class Entry {
        String name
        boolean public
    }

    class TextEntry {
        String text
    }

    class NumericEntry {
        double value
        String unit
    }

    class EntryGroup

    enum EnergyClass <<enum>> {
        A
        B
        C
        D
    }

    class Comment {
        String text
    }

    class Image {
        String fileName
    }

    WebPortal ""1"" --> ""*"" Entry : id
    WebPortal ""0..1"" --> ""1"" User : username
    EntryGroup ""1"" *-- ""*"" Entry

    Entry <|-- TextEntry
    Entry <|-- NumericEntry

    User <|-- Administrator

    User ""1"" --> ""*"" Building : owner
    User ""1"" --> ""*"" Building : author
    Building ""1"" --> ""*"" Comment
    Building ""1"" --> ""1"" Image : profilePicture
    Building ""1"" --> ""1"" EnergyClass
@enduml"
4,"A city is using the Bus Transportation Management System (BTMS) to simplify the day-to-day activities related to the city’s public bus system.
The BTMS keeps track of a driver’s name and automatically assigns a unique ID to each driver. A bus route is identified by a unique number that is determined by city staff, while a bus is identified by its unique licence plate. The highest possible number for a bus route is 9999, while a licence plate number may be up to 10 characters long, inclusive. For up to a year in advance, city staff assigns buses to routes. Several buses may be assigned to a route per day. Each bus serves at the most one route per day but may be assigned to different routes on different days. Similarly, for up to a year in advance, city staff posts the schedule for its bus drivers. For each route, there is a morning shift, an afternoon shift, and a night shift. A driver is assigned by city staff to a shift for a particular bus on a particular day. The BTMS offers city staff great flexibility, i.e., there are no restrictions in terms of how many shifts a bus driver has per day. It is even possible to assign a bus driver to two shifts at the same time.
The current version of BTMS does not support the information of bus drivers or buses to be updated – only adding and deleting is supported. However, BTMS does support indicating whether a bus driver is on sick leave and whether a bus is in the repair shop. If that is the case, the driver cannot be scheduled or the bus cannot be assigned to a route. For a given day, an overview shows – for each route number – the licence plate number of each assigned bus, the entered shifts and the IDs and names of the assigned drivers. If a driver is currently sick or a bus is in the repair shop, the driver or bus, respectively, is highlighted in the overview."," @startuml

enum Shift <<enum>> {
    Morning
    Afternoon
    Night
}


class BusVehicle {
    String LicencePlate
    Boolean InRepairShop
}

class Route {
    Int Number
}

class RouteAssignment {
    Date Date
}

class Driver {
    String Name
    String Id
    Boolean OnSickLeave
}

class DriverSchedule{
    Shift Shift
}

BusVehicle ""1"" -- ""0..*"" RouteAssignment
Route ""1"" -- ""0..*"" RouteAssignment

Driver ""1"" -- ""0..*"" DriverSchedule
RouteAssignment ""1"" -- ""0..*"" DriverSchedule

@enduml"
5,"Your company has been commissioned to develop an application for managing customers, products, orders, and similar items for a company that sells clothing. You are responsible for designing the application. The customer provides you with the following information:
""We offer all kinds of clothing—from shoes to headwear, we have everything in our range. Our products have a unique name, a description, and a net price. We also know which company manufactured each product and in which country. In order to calculate the gross price of an item, which depends on the local VAT rate in each country, we need information about the VAT rate, the currency used, and a conversion rate to the euro for each country. We also do not sell every product in every country – this should also be queryable in some way. Our products are distributed through representatives, whose first and last names, social security numbers, telephone numbers, and email addresses must be stored. Each representative is responsible for exactly one country. The customer data includes name, address, telephone number, email address, and the countries in which they resell our goods. Orders from customers are placed by the representatives. Each order is uniquely identifiable and refers to exactly one product. It must include the order quantity, the order date, and the desired delivery date."," @startuml

class Order {
    Int OrderNumber
    Int OrderQuantity
    Date OrderDate
    Date DeliveryDate
}

class Category {
    String Name
}

class Product {
    String Name
    String Description
    Double NetPrice
}

class Representative {
    String FirstName
    String LastName
    Int Ssn
    String PhoneNumber
    String Email
}

class Manufacturer {
    String Name
}

class Country {
    String Name
    Double VAT
    String Currency
    Float ConversionRate
}

class Customer {
    String Name
    String Address
    String PhoneNumber
    String Email
}


Product ""1""--""*"" Order : contains
Category ""1""--""*"" Product: belongsTo
Representative ""1""--""*"" Order : placedBy
Manufacturer ""*""--""*"" Country
Product . (Manufacturer,Country)
Product ""*""--""*"" Country : soldIn
Representative ""*""-""1"" Country : responsibleFor
Order ""*""-""1"" Customer : orders
Country ""*""--""*"" Customer : resell


@enduml"
6,"As a project manager of a medium-sized software company you are responsible for the successful implementation of the system described below. In the first 5 tasks of this exam you will produce a specification step-by-step.
Short description:
Infrastructure and software platform for capturing energy consumption data in private homes.
The customer:
HomeTec is a small company in the domain of building engineering which manufactures sensors which can be installed in private homes. The company is, same as your company, located in Aachen.
Detailed system description:
The system “E-Home-2020” consists of a set of multiple sensors, which report their values to a connected SensorController. Furthermore, the SensorController stores information about the apartment with its inhabitants. The apartment’s inhabitants can log on to the SensorController by using their username and password and query values for each installed sensor. Moreover, they can specify a threshold for each sensor. An external System called „E-Monitor“  is attached to the system and checks all thresholds for each sensor automatically. If the sensor’s threshold is exceeded and if an email address has been specified for the apartment, “E-Monitor” will send alert messages via the “E-Home-2020” system.
Some inhabitants have administrative rights which enable them to configure sensors. This includes assigning sensors to a new room or changing the sensor’s description.
At the moment, the company HomeTec manufactures two types of sensors: temperature sensors and power sensors (the latter are installed in a plug-and-play fashion between the power-socket and the respective appliance). Temperature sensors have a valid value range (min , max). Power sensors store the total power consumption as counter reading. All sensors have a unique vendor-id, a description (e.g. “temperature radiator living room” or “power consumption microwave oven”) and a unit. Possible units are CELSIUS and WATT. Each sensor is assigned to exactly one room. An apartment has an address and consists of at least two rooms. Rooms have a description (e.g. „living room“). For each sensor one can query the respective measured values, which are stored in the system. Each value has a timestamp and the corresponding value as a floating point number. For quick access one can access the last value of a sensor directly.
Goal of project:
The goal of the project is the development of a prototype, which works on a specific target platform in a specific environment and provides essential functionality."," @startuml

    class SensorController {
        id
    }

    class Sensor {
        Integer id
        String description
        Double threshold
    }

    class Measurement {
        Double value
        Long timestamp
    }

    class TemperatureSensor {
        Double min
        Double max
    }

    class PowerMeter {
        Double totalConsumption
    }

    enum Unit <<enum>> {
        CELSIUS
        WATT
    }

    class Room {
        String label
    }

    class Apartment {
        String address
        String email
    }

    class Resident {
        String username
        String password
        Boolean isAdmin
    }

    SensorController ""1"" --> ""0..1"" Sensor
    Sensor ""1"" --> ""*"" Measurement
    Sensor ""1"" --> ""1"" Measurement : lastValue
    Sensor <|-- TemperatureSensor
    Sensor <|-- PowerMeter
    Sensor ""1"" --> ""1"" Unit
    SensorController ""1"" --> ""1"" Room
    Room ""2..*"" *-- ""1"" Apartment
    Apartment ""1"" --> ""*"" Resident
    Apartment ""1"" --> ""*"" Sensor

@enduml"
7,"Recently, the European Union made funds available to set-up a cross-national research database that stores information concerning scientific articles of researchers working at institutions in the EU. Science Connect is the company that will be setting up this database.
The system will store information regarding scientific staff (persons) and research institutions. Bot hare uniquely identified by a person ID and an institution code, respectively. The following is also recorded for each person: a phone number, keywords that identify his/her keys research topics and the institution he/she works for. A person can be an author of one article and a reviewer of another peer-reviewed article at the same time.
The database will store the following information concerning scientific articles. Each scientific article is uniquely identified by a DOI (a document object identifier), and the system also stores the title and the authors of the article. In the case of multiple authors, the position of each author is stored. Science Connect distinguishes between two types of scientific articles: a scientific article is either a peer-reviewed paper or a technical report. The system stores the citation count of peer-reviewed papers and who reviewed the paper. A technical report is always published by a single research institution, while research institutions can of course publish multiple technical reports.
The system keeps track of the different scientific publishers (e.g., IEE, Elsevier). A publisher is identified by name. A publisher can publish multiple journals to which research institutions can subscribe. These journals are given a name by the publisher (e.g., Decision Support Systems). Publishers can have journals with the same name as other publishers; e.g., it is possible that both IEE and Elsevier have a journal with the title Management Science. The impact factor, which measures the scientific impact of a journal is also stored.
Finally, only peer-reviewed papers are published in journals, not technical reports."," @startuml

class Person {
    Int PersonID
    String PhoneNumber
    String Keywords
}

class ResearchInstitution {
    Int InstitutionCode
}

class Article {
    Int DOI
    String Title
}

class Author {
    Int Position
}

class PeerReviewedPaper {
    Int CitationCount
}

class TechnicalReport {

}

class Publisher {
    String Name
}

class Journal {
    String Name
    Double ImpactFactor
}


TechnicalReport --|> Article : {total; disjoint}
Article <|-- PeerReviewedPaper
Article ""*""-""*"" Person
Author .. (Article,Person)
ResearchInstitution ""1""--""*"" Person : worksFor
Person ""*""--""*"" PeerReviewedPaper : reviews
ResearchInstitution ""*""--""*"" Journal : subscribesTo
Publisher ""1""--""*"" Journal : publishes
Journal ""1""--""*"" PeerReviewedPaper
ResearchInstitution ""1""--""*"" TechnicalReport : publishes

@enduml"
8,"Recently, a new social network site, Facepage, was founded. Given the current trends, the managers of Facepage are convinced that this will be the new hype in the near future.
When new users want tot join Facepage, they first need to fill in a form with their personal information (i.e., ID, name, email, and date of birth). A user has a unique ID. Afterwards, an account is created. An account is uniquely identified by an account number, automatically generated by the database system. The user needs to specify which type of account he/she prefers: a business account or a personal account. A business account is specifically designed to support companies in their marketing campaigns. When a user decides to open a business account, he/she has to specify the name of the company. Users with a business account pay a monthly fee. When a user opts for a personal account, he/she can keep in touch with other Facepage users. Only personal accounts can send or receive friend requests.
Maintaining multiple accounts, regardless of the purpose, is a violation of Facepage’s Terms of Use. If a user already has a personal (business) account, then Facepage cannot allow the user to create an additional personal or business account for any reason.
Each account can create several pages. While each page must be administrated by exactly one account, personal accounts can be granted privileges (e.g., to write something on the all of friends, adjust some information) to pages belonging to other personal accounts. For each page, the page name and the number of visits are logged. For each account, no two pages can exist with the same name. Users with a business profile can create a special type of page: an advertisement page. This page records several features, like the bounce rate, the click-through rate, and the conversion rate. The bounce rate is the percentage of visitors on the page that leave immediately. The click-through rate is the percentage of visitors that click on ta certain banner on the page. The conversion rate is the percentage of visitors that accomplish the intended goal, like a purchase or a transaction."," @startuml

class User {
    Int UserID
    String Name
    String Email
    Date BirthDate
}

abstract class Account {
    Int AccountNumber
}

class BusinessAccount {
    String CompanyName
}

class PersonalAccount {}

class FriendRequest {}

abstract class Page {
    String PageName
    Int Visits
}

class PersonalPage {}

class Privilege {
    String TypeOfPrivilege
}

class AdvertisementPage {
    Double BounceRate
    Double ClickThroughRate
    Double CoversionRate
}

User ""1""--""1"" Account
Account <|-- BusinessAccount
Account <|-- PersonalAccount
BusinessAccount ""1""--""*"" AdvertisementPage
PersonalAccount ""1""--""*"" PersonalPage : administrator
PersonalAccount ""*""--""*"" PersonalPage
Privilege .. (PersonalAccount,PersonalPage)
FriendRequest ""*""-""1"" PersonalAccount : sender
FriendRequest ""*""-""1"" PersonalAccount : receiver
AdvertisementPage --|> Page
PersonalPage --|> Page


@enduml"
9,"Fitness company “Conan” wants to set up a database for its members and trainers. One of the aims is to record information about which members participated in which sessions and which trainers supervised which sessions.
Conan operates various fitness centers in various cities. Every center is characterized by a unique name (e.g., Fitplaza, my6pack). Every center has an address and one or more rooms (you can consider address as atomic). Every room has a maximum capacity. Within a center, each room has a unique number such as 1, 2, 3, etc.
People can register for individual or group sessions in different centers. Each group session requires exactly one trainer. Individual sessions are done without a trainer. For each person, we want to store the first name, family name, and birth date. You can assume that the combination of first name, family name, and birth date is unique. For each trainer, the diploma is also recorded. A person can be a trainer in one session and participant in another session (either individual or group session). The model should also include information about people (e.g., prospects) that have not participated in any sessions yet, or trainers (e.g., interns) that have not supervised any group sessions yet.
For each session, the date and starting hour should be recorded. For group sessions, also the type should be stored (e.g., aerobics, bodystyling, etc.). Sessions can start at the same time on the same day but in different rooms of a center or in different centers. At a given start hour of a given day, at most one individual or group session can start in a given room of a given center."," @startuml

class Center {
    String name
    String Address
}

class Room {
    Int RoomNr
    Int MaxCapacity
}

class Session {
    DateTime StartDateTime
    
}

class IndividualSession {}

class GroupSession {
    String Type
}

class Person {
    String FirstName
    String Lastname
    Date BirthDate
}

class Member {}

class Trainer {
    String Diploma
}

Center ""1""--""1..*"" Room
Room ""1""-""*"" Session
Session <|-- GroupSession : {total; disjoint}
Session <|- IndividualSession
IndividualSession ""*""-""1"" Member
Member ""*""--""*"" GroupSession
Person <|-- Member : {partial; overlap}
Person <|-- Trainer
Trainer ""1""--""*"" GroupSession

@enduml"
10,"The LabTracker software helps (i) doctors manage the requisition of tests and examinations for patients and (ii) patients book appointments for tests and examinations at a lab. For the remainder of this description, tests and examinations are used interchangeably.
For a requisition, a doctor must provide their numeric practitioner number and signature for verification as well as their full name, their address, and their phone number. The signature is a digital signature, i.e., an image of the actual signature of the doctor. Furthermore, the doctor indicates the date from which the requisition is valid. The requisition must also show the patient’s information including their alpha-numeric health number, first name and last name, date of birth, address, and phone number. A doctor cannot prescribe a test for themselves but can prescribe tests to someone else who is a doctor.
Several tests can be combined on one requisition but only if they belong to the same group of tests. For example, only blood tests can be combined on one requisition or only ultrasound examinations can be combined. It is not possible to have a blood test and an ultrasound examination on the same requisition. For each test, its duration is defined by the lab network, so that it is possible to schedule appointments accordingly. The duration of a test is the same at each lab. For some kinds of tests, it does not matter how many tests are performed. They take as long as a single test. For example, several blood tests can be performed on a blood sample, i.e., it takes as long to draw the blood sample for a single blood test as it does for several blood tests.
A doctor may also indicate that the tests on a requisition are to be repeated for a specified number of times and interval. The interval is either weekly, monthly, every half year, or yearly. All tests on a requisition are following the same repetition pattern.
The doctor and the patient can view the results of each test (either negative or positive) as well as the accompanying report.
A patient is required to make an appointment for some tests while others are walk-in only. For example, x-ray examinations require an appointment, but blood tests are walk-in only (i.e., it is not possible to make an appointment for a blood test). On the other hand, some tests only require a sample to be dropped off (e.g., a urine or stool sample).
To make an appointment for a requisition, a patient selects the desired lab based on the lab’s address and business hours. For requisitions with repeated tests, a patient is only allowed to make one appointment at a time. The confirmation for an appointment also shows a confirmation number, the date as well as start/end times, and the name of the lab as well as its registration number. It is possible to change or cancel an appointment at any time but doing so within 24 hours of the appointment incurs a change/cancellation fee. Each lab determines its own fee and business hours. All labs are open every day of the year and offer all tests. The business hours of a lab do not change from one week to the next. Each day a lab is open from the day’s start time to its end time, i.e., there are no breaks."," @startuml

enum Interval <<enum>> {
    Weekly
    Monthly
    EveryHalfYear
    Yearly
}

enum AccessType <<enum>> {
    Reservable
    WalkIn
    DropOff
}

enum DayOfWeek <<enum>> {
    Monday
    Tuesday
    Wednesday
    Thursday
    Friday
    Saturday
    Sunday
}


class Person {
    String LastName
    String FirstName
    String Address
    String PhoneNumber
}

abstract class PersonRole {
    Int IdNumber
}

class Patient {
    String DateOfBirth
}

class Doctor {
    String Signature
}

class Requisition {
    String EffectiveDate
    Int RepetitionCount
    Interval RepetitionInterval
}

class TestResult {
    Boolean Result
    String Report
}

class SpecificTest {
    Date Date
}

class Appointment {
    String Confirmation
    Date Date
    String startTime
    String endTime
}

class BusinessHour {
    DayOfWeek DayOfWeek
    String startTime
    String endTime
}

class Lab {
    String RegistrationNumber
    String Name
    String Address
    Boolean ChangeCancelFee
}

class Test {
    String Name
    String Duration
}

class TestType {
    String Name
    String DurationAdditive
    AccessType Access
}



PersonRole <|-- Patient
PersonRole <|-- Doctor

Person ""1"" -- ""0..2"" PersonRole
Patient ""1"" -- ""*"" Requisition
Lab ""1"" - ""*"" Requisition
(Lab,Requisition) .. Appointment

Doctor ""1"" -- ""*"" Requisition
Requisition ""1"" - ""*"" SpecificTest
SpecificTest ""1"" -- ""0..1"" TestResult
BusinessHour ""7"" -- ""1"" Lab
SpecificTest ""*"" - ""1"" Test
Test ""*"" -- ""1"" TestType


@enduml"
